nta,Violations
Allerton,14101
Allerton-Pelham Gardens,889
Annadale-Huguenot-Prince's Bay-Eltingville,148
Annadale-Huguenot-Prince's Bay-Woodrow,267
Arden Heights,63
Arden Heights-Rossville,200
Astoria,4027
Astoria (Central),6874
Astoria (East)-Woodside (North),4495
Astoria (North)-Ditmars-Steinway,5518
Auburndale,1316
Baisley Park,3142
Bath Beach,3938
Battery Park City-Lower Manhattan,352
Bay Ridge,15560
Bay Terrace-Clearview,242
Bayside,868
Bayside-Bayside Hills,567
Bedford,6888
Bedford Park,18604
Bedford Park-Fordham North,6579
Bedford-Stuyvesant (East),18371
Bedford-Stuyvesant (West),17490
Bellerose,581
Belmont,21688
Bensonhurst,12221
Bensonhurst East,3018
Bensonhurst West,4590
Borough Park,15672
Breezy Point-Belle Harbor-Rockaway Park-Broad Chan,1403
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1029
Briarwood-Jamaica Hills,1156
Brighton Beach,6842
Bronxdale,3541
Brooklyn Heights,1365
Brooklyn Heights-Cobble Hill,849
Brownsville,14346
Bushwick (East),11017
Bushwick (West),11556
Bushwick North,6225
Bushwick South,6088
Cambria Heights,567
Canarsie,7280
Carroll Gardens-Cobble Hill-Gowanus-Red Hook,7985
Carroll Gardens-Columbia Street-Red Hook,2915
Castle Hill-Unionport,7064
Central Harlem North-Polo Grounds,9233
Central Harlem South,5764
Charleston-Richmond Valley-Tottenville,114
Chelsea-Hudson Yards,3812
Chinatown,2126
Chinatown-Two Bridges,2750
Claremont Village-Claremont (East),4637
Claremont-Bathgate,2861
Clinton,2764
Clinton Hill,7005
Co-op City,2122
College Point,2358
Concourse-Concourse Village,30714
Coney Island-Sea Gate,4941
Corona,9060
Crotona Park East,11276
Crown Heights (North),25780
Crown Heights (South),16405
Crown Heights North,14028
Crown Heights South,4732
Cypress Hills,5031
Cypress Hills-City Line,2422
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1767
Douglas Manor-Douglaston-Little Neck,172
Douglaston-Little Neck,250
Downtown Brooklyn-DUMBO-Boerum Hill,2012
Dyker Heights,7254
East Concourse-Concourse Village,8821
East Elmhurst,2931
East Flatbush-Erasmus,18413
East Flatbush-Farragut,10951
East Flatbush-Remsen Village,14053
East Flatbush-Rugby,10826
East Flushing,1875
East Harlem (North),12787
East Harlem (South),6110
East Harlem North,3850
East Harlem South,2270
East Midtown-Turtle Bay,1647
East New York,7872
East New York (North),9525
East New York (Pennsylvania Ave),4103
East New York-City Line,13304
East New York-New Lots,13663
East Tremont,6815
East Village,11028
East Williamsburg,8101
Eastchester-Edenwald-Baychester,7947
Elmhurst,12513
Elmhurst-Maspeth,976
Erasmus,4745
Far Rockaway-Bayswater,11923
